,Reaction Type,Datetime,Content Type,Content ID,Category,Sentiment,Score,,,,
25,hate,27-06-2020 18:44,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,5,,,,
26,hate,09-05-2021 21:05,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,5,,,,
27,cherish,04-08-2020 23:58,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,70,,,,
28,super love,28-08-2020 03:57,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,75,,,,
29,intrigued,25-08-2020 08:21,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,45,,,,
30,scared,20-04-2021 23:48,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,15,,,,
31,interested,07-03-2021 12:40,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,,
32,indifferent,24-05-2021 03:21,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,20,,,,
33,super love,24-01-2021 11:03,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,75,,,,
34,disgust,09-04-2021 02:46,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,0,,,,
35,super love,02-02-2021 03:43,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,75,,,,
36,interested,04-02-2021 03:06,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,,
37,dislike,09-11-2020 02:49,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,10,,,,
38,scared,29-09-2020 16:00,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,15,,,,
39,dislike,29-11-2020 21:33,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,10,,,,
40,want,13-02-2021 07:54,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,70,,,,
41,interested,14-07-2020 05:28,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,,
42,indifferent,23-08-2020 10:30,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,20,,,,
43,worried,10-05-2021 09:27,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,12,,,,
44,hate,15-03-2021 03:59,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,5,,,,
45,dislike,25-06-2020 17:01,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,negative,10,,,,
46,intrigued,13-09-2020 00:11,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,45,,,,
47,peeking,20-08-2020 18:17,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,neutral,35,,,,
48,scared,11-02-2021 04:53,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,negative,15,,,,
49,hate,08-03-2021 10:40,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,negative,5,,,,
50,disgust,28-03-2021 21:15,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,negative,0,,,,
51,hate,25-05-2021 01:00,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,negative,5,,,,
52,like,15-03-2021 12:17,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,50,,,,
53,love,05-05-2021 16:26,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,65,,,,
54,love,31-08-2020 00:21,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,65,,,,
55,heart,16-06-2021 03:02,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,60,,,,
56,indifferent,07-07-2020 10:52,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,neutral,20,,,,
57,peeking,20-08-2020 07:59,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,neutral,35,,,,
58,love,23-09-2020 11:15,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,65,,,,
59,like,24-03-2021 05:56,photo,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,positive,50,,,,
60,hate,07-12-2020 19:13,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,5,,,,
61,super love,03-08-2020 16:41,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,75,,,,
62,adore,10-01-2021 15:36,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,72,,,,
63,scared,20-09-2020 08:48,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,15,,,,
64,cherish,20-07-2020 14:06,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,70,,,,
65,adore,24-10-2020 12:15,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,72,,,,
66,interested,06-06-2021 01:27,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,30,,,,
67,heart,25-12-2020 00:09,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,60,,,,
68,like,14-06-2021 07:56,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,50,,,,
69,like,05-06-2021 18:00,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,50,,,,
70,hate,18-11-2020 23:37,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,5,,,,
71,interested,09-05-2021 02:42,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,30,,,,
72,dislike,11-05-2021 08:38,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,10,,,,
73,peeking,12-11-2020 08:00,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,neutral,35,,,,
74,heart,21-06-2020 16:57,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,60,,,,
75,super love,04-03-2021 23:58,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,75,,,,
76,want,09-07-2020 16:47,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,70,,,,
77,hate,01-08-2020 19:16,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,5,,,,
78,dislike,23-11-2020 22:46,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,10,,,,
79,scared,11-12-2020 14:08,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,15,,,,
80,dislike,23-04-2021 23:41,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,10,,,,
81,want,13-11-2020 00:33,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,70,,,,
82,interested,09-06-2021 10:13,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,30,,,,
83,love,29-10-2020 19:41,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,65,,,,
84,heart,14-05-2021 12:47,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,60,,,,
85,disgust,04-08-2020 05:40,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,0,,,,
86,adore,07-08-2020 04:09,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,72,,,,
87,adore,23-10-2020 21:19,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,72,,,,
88,adore,14-11-2020 23:53,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,72,,,,
89,worried,04-08-2020 19:26,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,negative,12,,,,
90,interested,12-11-2020 04:54,photo,230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,positive,30,,,,
91,worried,03-04-2021 12:17,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,negative,12,,,,
92,want,27-09-2020 22:15,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,positive,70,,,,
93,heart,27-10-2020 05:45,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,positive,60,,,,
94,scared,15-10-2020 09:11,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,negative,15,,,,
95,heart,07-05-2021 09:16,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,positive,60,,,,
96,hate,16-09-2020 08:39,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,negative,5,,,,
97,indifferent,29-10-2020 15:38,photo,356fff80-da4d-4785-9f43-bc1261031dc6,technology,neutral,20,,,,
98,scared,24-05-2021 18:03,video,01ab84dd-6364-4236-abbb-3f237db77180,food,negative,15,,,,
99,interested,25-02-2021 20:02,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,30,,,,
100,hate,02-05-2021 03:45,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,negative,5,,,,
101,want,28-01-2021 08:49,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,70,,,,
102,peeking,15-02-2021 13:06,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,neutral,35,,,,
103,dislike,04-11-2020 21:25,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,negative,10,,,,
104,love,23-06-2020 22:12,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,65,,,,
105,cherish,16-02-2021 04:01,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,70,,,,
106,interested,03-01-2021 08:44,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,30,,,,
107,adore,25-11-2020 12:45,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,72,,,,
108,like,03-12-2020 16:47,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,50,,,,
109,like,22-05-2021 21:03,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,50,,,,
110,cherish,18-01-2021 13:39,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,70,,,,
111,indifferent,06-01-2021 00:35,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,neutral,20,,,,
112,adore,14-05-2021 14:33,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,72,,,,
113,worried,27-05-2021 15:21,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,negative,12,,,,
114,peeking,21-07-2020 02:12,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,neutral,35,,,,
115,dislike,26-05-2021 06:09,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,negative,10,,,,
116,dislike,25-02-2021 03:16,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,negative,10,,,,
117,intrigued,07-12-2020 22:50,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,45,,,,
118,indifferent,24-10-2020 14:06,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,neutral,20,,,,
119,peeking,01-09-2020 21:18,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,neutral,35,,,,
120,adore,10-05-2021 22:07,GIF,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cooking,positive,72,,,,
121,cherish,12-02-2021 16:37,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
122,heart,28-04-2021 15:22,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
123,intrigued,24-01-2021 00:38,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,45,,,,
124,worried,18-03-2021 01:53,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,12,,,,
125,disgust,14-01-2021 07:21,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,0,,,,
126,heart,23-12-2020 04:11,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
127,hate,21-05-2021 07:23,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,5,,,,
128,like,28-03-2021 23:25,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,50,,,,
129,peeking,16-09-2020 07:33,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,neutral,35,,,,
130,indifferent,08-11-2020 10:53,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,neutral,20,,,,
131,heart,06-03-2021 05:23,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
132,disgust,13-01-2021 23:35,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,0,,,,
133,want,06-09-2020 22:35,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
134,interested,24-06-2020 09:31,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
135,hate,07-02-2021 21:39,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,5,,,,
136,intrigued,21-01-2021 18:28,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,45,,,,
137,dislike,27-02-2021 00:21,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,10,,,,
138,worried,22-08-2020 12:06,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,12,,,,
139,cherish,03-08-2020 06:29,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
140,scared,02-08-2020 06:20,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,15,,,,
141,want,04-06-2021 04:57,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
142,super love,21-10-2020 09:07,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,75,,,,
143,dislike,26-12-2020 19:46,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,10,,,,
144,scared,02-03-2021 22:47,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,15,,,,
145,indifferent,31-03-2021 09:48,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,neutral,20,,,,
146,interested,14-06-2021 13:44,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
147,scared,27-12-2020 17:04,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,15,,,,
148,scared,11-02-2021 03:51,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,15,,,,
149,interested,07-12-2020 19:07,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
150,interested,28-12-2020 08:31,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
151,interested,26-10-2020 05:27,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
152,worried,26-09-2020 18:43,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,12,,,,
153,scared,25-11-2020 13:01,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,15,,,,
154,heart,11-07-2020 05:51,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
155,heart,19-03-2021 16:23,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
156,interested,11-10-2020 18:31,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,30,,,,
157,heart,02-11-2020 20:15,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,60,,,,
158,want,01-10-2020 03:35,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
159,disgust,11-02-2021 20:10,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,0,,,,
160,want,07-02-2021 15:59,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,70,,,,
161,hate,17-10-2020 11:46,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,negative,5,,,,
162,like,09-08-2020 19:41,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,50,,,,
163,love,01-02-2021 02:40,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,65,,,,
164,adore,30-01-2021 09:36,video,3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,positive,72,,,,
165,want,31-03-2021 15:24,video,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,technology,positive,70,,,,
166,super love,05-02-2021 17:00,video,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,technology,positive,75,,,,
167,heart,19-02-2021 16:29,video,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,technology,positive,60,,,,
168,worried,25-07-2020 00:00,video,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,technology,negative,12,,,,
169,adore,13-07-2020 02:38,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,72,,,,
170,indifferent,13-01-2021 13:11,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,neutral,20,,,,
171,worried,02-01-2021 16:46,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,negative,12,,,,
172,intrigued,26-11-2020 02:25,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,45,,,,
173,want,25-08-2020 19:18,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,70,,,,
174,hate,01-02-2021 00:15,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,negative,5,,,,
175,love,04-06-2021 14:36,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,65,,,,
176,adore,19-08-2020 13:38,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,72,,,,
177,cherish,22-04-2021 02:08,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,70,,,,
178,super love,26-06-2020 10:33,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,75,,,,
179,like,15-08-2020 18:16,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,50,,,,
180,love,26-11-2020 13:42,photo,0bedca96-fb76-4287-a83c-17330ed39cce,soccer,positive,65,,,,
181,want,14-04-2021 00:56,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
182,indifferent,21-07-2020 21:27,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,neutral,20,,,,
183,dislike,29-03-2021 06:57,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,10,,,,
184,want,20-05-2021 16:11,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
185,like,02-11-2020 06:09,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,50,,,,
186,indifferent,24-10-2020 15:37,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,neutral,20,,,,
187,heart,07-09-2020 14:42,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,60,,,,
188,scared,04-03-2021 02:46,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
189,adore,07-01-2021 14:08,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,72,,,,
190,peeking,06-07-2020 11:18,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,neutral,35,,,,
191,like,27-03-2021 04:56,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,50,,,,
192,intrigued,21-11-2020 21:25,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,45,,,,
193,cherish,22-08-2020 01:25,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
194,peeking,14-06-2021 11:45,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,neutral,35,,,,
195,worried,15-07-2020 19:28,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,12,,,,
196,intrigued,21-03-2021 14:39,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,45,,,,
197,super love,07-04-2021 03:15,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,75,,,,
198,cherish,24-04-2021 06:56,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
199,heart,30-09-2020 14:05,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,60,,,,
200,heart,19-07-2020 19:28,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,60,,,,
201,scared,21-01-2021 07:08,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
202,scared,31-01-2021 13:48,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
203,hate,24-12-2020 03:24,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,5,,,,
204,disgust,27-05-2021 01:44,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,0,,,,
205,disgust,13-02-2021 04:14,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,0,,,,
206,adore,14-07-2020 04:36,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,72,,,,
207,dislike,15-07-2020 16:03,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,10,,,,
208,like,08-10-2020 17:23,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,50,,,,
209,heart,12-11-2020 23:55,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,60,,,,
210,want,21-02-2021 05:01,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
211,intrigued,09-07-2020 08:58,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,45,,,,
212,adore,26-06-2020 23:45,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,72,,,,
213,worried,20-11-2020 13:18,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,12,,,,
214,like,29-05-2021 21:34,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,50,,,,
215,indifferent,22-02-2021 02:48,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,neutral,20,,,,
216,scared,07-01-2021 18:39,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
217,adore,01-10-2020 15:10,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,72,,,,
218,hate,21-11-2020 08:24,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,5,,,,
219,scared,15-04-2021 13:50,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
220,love,30-06-2020 01:14,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,65,,,,
221,want,01-12-2020 15:06,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,positive,70,,,,
222,scared,07-11-2020 00:47,photo,b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,negative,15,,,,
223,super love,30-06-2020 13:08,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,75,,,,
224,heart,04-08-2020 03:09,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,60,,,,
225,intrigued,28-07-2020 07:01,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,45,,,,
226,super love,25-10-2020 02:39,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,75,,,,
227,worried,05-07-2020 03:37,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,negative,12,,,,
228,cherish,28-04-2021 15:16,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,70,,,,
229,indifferent,31-01-2021 00:54,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,neutral,20,,,,
230,adore,29-08-2020 11:37,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,72,,,,
231,intrigued,15-10-2020 12:09,GIF,5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,positive,45,,,,
